Star ID,NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),neg_sigma_dist,pos_sigma_dist,Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F438W,F438W_abs,F438W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e
R0001014,288,Carretta,200154,13.20505,-26.57820278,8988,-88,89,15.825,1.056684681,16.664,1.895684681,,,13.766,-1.002315319,4968.0,2.51,11.54,-1.204,0.112,-1.29,0.23,,0.036,0.25,18.593,3.824684681,0.0103,16.8096,2.041284681,0.0138,16.6496,1.881284681,0.004,15.5781,0.809784681,0.0004,14.8491,0.080784681,0.0
R0000061,288,Carretta,200182,13.16789583,-26.60533889,8988,-88,89,15.937,1.168684681,16.74,1.971684681,,,13.778,-0.990315319,4999.0,2.55,11.54,-1.179,0.16,-1.29,0.097,,0.182,,18.6235,3.855184681,0.0032,16.9359,2.167584681,0.0,16.7704,2.002084681,0.0,15.6853,0.916984681,0.0,14.9527,0.184384681,0.0
R0018310,288,Carretta,200193,13.16311667,-26.57331667,8988,-88,89,15.985,1.216684681,16.773,2.004684681,,,13.896,-0.872315319,5012.0,2.55,11.54,-1.223,0.141,-1.29,,,0.472,0.126,24.8948,10.12648468,0.0,,,,24.6896,9.921284681,0.0,23.0967,8.328384681,0.1012,22.0923,7.323984681,0.0105
R0000592,288,Carretta,200199,13.1967875,-26.58870833,8988,-88,89,16.021,1.252684681,16.798,2.029684681,,,13.946,-0.822315319,5022.0,2.61,11.54,-1.233,0.125,-1.29,0.04,,0.198,0.076,18.4649,3.696584681,0.0112,16.8686,2.100284681,0.0067,16.7587,1.990384681,0.003,15.7626,0.994284681,0.0008,15.0612,0.292884681,0.0
R0001735,288,Carretta,200222,13.18657917,-26.54932222,8988,-88,89,16.126,1.357684681,16.908,2.139684681,,,14.21,-0.558315319,5050.0,2.65,11.54,-1.25,0.117,-1.29,,,0.103,0.035,,,,,,,,,,,,,15.1771,0.408784681,0.0
R0025332,288,Carretta,200226,13.1689375,-26.55522778,8988,-88,89,16.16,1.391684681,16.949,2.180684681,,,13.998,-0.770315319,5060.0,2.61,11.54,-1.158,0.188,-1.29,,,0.191,0.084,,,,,,,,,,23.7941,9.025784681,0.0,22.318,7.549684681,0.0424
R0000202,288,Carretta,200239,13.19786667,-26.60041111,8988,-88,89,16.208,1.439684681,16.967,2.198684681,,,14.105,-0.663315319,5073.0,2.69,11.54,-1.24,0.08,-1.29,,,0.017,0.088,18.7284,3.960084681,0.0036,17.0668,2.298484681,0.0,16.9869,2.218584681,0.0,15.9577,1.189384681,0.0035,15.2321,0.463784681,0.0
R0026914,288,Carretta,200263,13.19345417,-26.54801944,8988,-88,89,16.336,1.567684681,17.125,2.356684681,,,14.291,-0.477315319,5108.0,2.74,11.54,-1.301,0.051,-1.29,0.644,,0.1,,,,,,,,,,,22.5148,7.746484681,0.0374,,,
R0001304,288,Carretta,200276,13.17125,-26.56938889,8988,-88,89,16.436,1.667684681,17.218,2.449684681,,,,,5135.0,2.76,11.54,-1.166,0.106,-1.29,,,0.386,0.04,18.754,3.985684681,0.0075,17.3376,2.569284681,0.0042,17.1984,2.430084681,0.0163,16.2114,1.443084681,0.0,15.5188,0.750484681,0.0
R0001043,288,Monty,338,13.22,-26.57743,8988,-88,89,13.63,-1.138315319,,,,,,,,,11.54,0.231,0.015,-1.29,,,0.071813286,0.016,,,,,,,,,,13.3128,-1.455515319,0.0,12.3538,-2.414515319,0.0
