Fe/H,O/Fe,Na/Fe,F275W,F336W,F438W,F606W,F814W
-2.269,0.557,0.303,17.6656,16.2172,16.029,14.9298,14.1456
-2.304,0.299,0.368,17.8429,16.4915,16.4451,15.422,14.6653
-2.176,0.085,0.287,17.5447,15.9307,15.5988,14.4664,13.6419
-2.214,0.175,0.556,17.6704,16.1861,16.0002,14.903,14.1116
-2.235,0.006,0.373,17.6406,16.1546,15.9635,14.8558,14.0656
-2.304,0.475,0.009,17.6608,16.1662,16.0184,14.8978,14.1021
-2.244,0.531,0.036,17.6042,15.8955,15.6042,14.4548,13.644
-2.211,0.574,0.3,17.7659,16.4437,16.3079,15.2776,14.5082
-1.341,0.494,0.098,18.7596,15.6436,14.1701,12.3766,11.3389
-1.332,-0.543,0.7,17.8776,15.6268,14.7434,13.3717,12.4946
-1.343,0.049,0.488,17.9784,15.7538,15.0058,13.6764,12.8269
-1.347,0.143,0.495,23.8962,21.7403,21.1285,20.4722,20.0885
-1.377,0.293,-0.02,19.4881,18.8526,19.2006,18.4745,17.881
-1.328,-0.308,0.607,17.7567,15.8744,15.3249,14.1035,13.2915
-1.321,0.031,0.26,22.5347,20.9777,20.8716,20.2131,19.5298
-1.335,0.145,0.497,17.8173,16.07,15.6274,14.4733,13.6934
-1.325,0.339,-0.293,19.5365,18.8945,19.2481,18.5778,18.0873
-1.332,0.285,0.331,18.0746,16.4199,16.1328,15.0172,14.2669
-1.352,0.391,0.085,18.1368,16.4712,16.2624,15.1492,14.4176
-1.357,0.396,0.191,18.1743,16.5599,16.326,15.2056,14.4712
-1.366,0.095,0.278,24.4372,23.5125,22.7799,22.0632,21.2284
-1.49,-0.77,0.37,17.7997,15.2934,13.8175,12.1757,11.2173
-1.61,0.36,0.04,18.0342,15.2267,13.9167,12.2529,11.2571
-1.64,0.38,-0.15,17.9598,15.1613,13.9036,12.2446,11.2554
-1.57,-0.48,0.4,17.8695,15.2565,13.9332,12.2409,11.2409
-1.63,0.23,0.32,17.8286,15.217,14.0664,12.4962,11.5936
-1.71,0.26,0.28,17.703,15.0776,13.8439,12.2709,11.3109
-1.57,-0.44,0.4,17.6788,15.1991,13.9156,12.2704,11.2902
-1.62,0.01,0.44,17.7307,15.1819,14.0162,12.4338,11.4832
-1.55,0.25,0.08,17.9208,15.1962,14.0503,12.4228,11.469
-1.59,-0.32,0.52,17.7497,15.2692,14.0464,12.4112,11.4256
-1.63,0.46,-0.42,17.8078,15.1246,14.0313,12.4583,11.4885
-1.55,-0.06,0.43,17.767,15.265,14.1586,12.5816,11.6453
-1.57,0.12,0.45,17.6685,15.2341,14.4073,12.6341,11.713
-1.6,0.34,0.09,17.7146,15.122,14.1457,12.634,11.7071
-1.6,0.35,0.19,17.5909,15.179,14.2494,12.8144,11.9096
-1.68,0.28,0.31,17.5313,15.1625,14.2868,12.8518,11.9658
-1.62,0.3,0.22,17.7207,15.2217,14.3096,12.8643,11.9761
-1.65,-0.11,0.21,16.8553,14.8355,14.1288,12.8854,12.0629
-1.62,-0.04,0.32,17.3444,15.2037,14.3127,12.8902,12.007
-1.78,0.08,0.36,17.3598,15.2943,14.5629,13.2741,12.4301
-1.66,-0.19,0.27,17.2737,15.294,14.5906,13.3372,12.4892
-1.59,0.54,-0.13,17.4825,15.3225,14.7523,13.4597,12.6211
-1.69,0.39,0.47,17.3607,15.4748,14.9042,13.701,12.8784
-0.458,-0.055,0.3,23.3772,19.8228,17.3904,14.7711,13.1941
-0.439,-0.318,0.475,23.1585,19.6378,17.3841,14.8729,13.4284
-0.538,-0.302,0.622,23.2686,19.9317,17.5865,15.0155,13.566
-0.494,-0.159,0.551,23.1646,19.7646,17.3206,14.6439,13.1073
-0.5,-0.668,1.384,23.2791,20.2494,17.6389,14.7906,13.2105
