age_Kruijssen,Fe/H,O/Fe,F275W,F275W_abs,F336W,F336W_abs,F435W,F435W_abs,F606W,F606W_abs,F814W,F814W_abs
10.9,-1.184,-0.834,19.9941,4.981110096,17.1956,2.182610096,15.7241,0.711110096,13.761,-1.251989904,12.6387,-2.374289904
10.9,-1.118,0.335,20.8929,5.879910096,17.8754,2.862410096,15.5767,0.563710096,12.9429,-2.070089904,11.5102,-3.502789904
10.9,-1.144,0.212,20.3569,5.343910096,17.2401,2.227110096,15.7616,0.748610096,13.7017,-1.311289904,12.5621,-2.450889904
10.9,-1.172,0.19,20.2211,5.208110096,17.3742,2.361210096,16.1422,1.129210096,14.1832,-0.829789904,13.096,-1.916989904
10.9,-1.135,0.376,20.8357,5.822710096,17.631,2.618010096,15.3704,0.357410096,12.8287,-2.184289904,11.4209,-3.592089904
10.9,-1.141,-0.138,21.3513,6.338310096,18.1078,3.094810096,15.5042,0.491210096,13.1025,-1.910489904,11.8413,-3.171689904
10.9,-1.171,0.162,19.8701,4.857110096,17.3095,2.296510096,16.3433,1.330310096,14.6187,-0.394289904,13.5967,-1.416289904
10.9,-1.171,0.273,19.7852,4.772210096,17.2354,2.222410096,16.4293,1.416310096,14.8574,-0.155589904,13.831,-1.181989904
10.9,-1.18,0.029,20.5956,5.582610096,17.6249,2.611910096,16.2955,1.282510096,14.0165,-0.996489904,12.8641,-2.148889904
10.9,-1.134,0.415,19.9798,4.966810096,17.1602,2.147210096,15.9963,0.983310096,14.1752,-0.837789904,13.1,-1.912989904
10.9,-1.173,0.282,20.6274,5.614410096,17.8313,2.818310096,15.4643,0.451310096,13.2291,-1.783889904,11.7115,-3.301489904
10.9,-1.178,0.374,20.1433,5.130310096,17.5222,2.509210096,15.4538,0.440810096,12.3361,-2.676889904,10.8173,-4.195689904
10.9,-1.214,0.357,20.6909,5.677910096,17.4914,2.478410096,15.4366,0.423610096,12.972,-2.040989904,11.6216,-3.391389904
10.9,-1.153,0.344,20.1251,5.112110096,17.0858,2.072810096,15.706,0.693010096,13.851,-1.161989904,12.7334,-2.279589904
10.9,-1.137,-0.595,19.9021,4.889110096,17.2702,2.257210096,15.8224,0.809410096,13.8604,-1.152589904,12.7324,-2.280589904
10.9,-1.148,-0.125,20.335,5.322010096,17.6436,2.630610096,15.4774,0.464410096,12.9845,-2.028489904,11.5788,-3.434189904
10.9,-1.134,0.277,20.5426,5.529610096,17.2915,2.278510096,15.9327,0.919710096,13.8967,-1.116289904,12.7553,-2.257689904
10.9,-1.111,0.259,20.0013,4.988310096,17.2035,2.190510096,16.1345,1.121510096,14.3716,-0.641389904,13.3018,-1.711189904
10.9,-1.153,0.034,20.0071,4.994110096,17.2148,2.201810096,15.9513,0.938310096,14.047,-0.965989904,12.9463,-2.066689904
10.9,-1.151,-0.439,19.8807,4.867710096,17.2257,2.212710096,15.9271,0.914110096,14.1039,-0.909089904,13.0059,-2.007089904
10.9,-1.147,0.341,20.3694,5.356410096,17.2156,2.202610096,15.4434,0.430410096,13.2304,-1.782589904,11.9997,-3.013289904
10.9,-1.122,0.32,19.9655,4.952510096,17.1364,2.123410096,16.0905,1.077510096,14.3833,-0.629689904,13.2819,-1.731089904
10.9,-1.113,0.344,19.9529,4.939910096,17.5071,2.494110096,16.8276,1.814610096,15.1009,0.087910096,14.1039,-0.909089904
10.9,-1.168,0.344,19.725,4.712010096,17.3135,2.300510096,16.6031,1.590110096,15.0843,0.071310096,14.0822,-0.930789904
10.9,-1.096,-0.082,19.7826,4.769610096,17.2806,2.267610096,16.1689,1.155910096,14.4609,-0.552089904,13.4042,-1.608789904
10.9,-1.128,0.236927592,20.2288,5.215810096,17.2495,2.236510096,15.911,0.898010096,14.0652,-0.947789904,12.9362,-2.076789904
10.9,-1.127,0.300999999,19.8226,4.809610096,17.2092,2.196210096,15.9523,0.939310096,14.1692,-0.843789904,13.0935,-1.919489904
10.9,-1.157,-0.421999991,19.6676,4.654610096,17.2588,2.245810096,16.1618,1.148810096,14.4589,-0.554089904,13.4163,-1.596689904
10.9,-1.178,0.374000013,20.7483,5.735310096,17.6332,2.620210096,15.4386,0.425610096,12.8163,-2.196689904,11.0615,-3.951489904
10.9,-1.115,0.398000002,19.9865,4.973510096,17.9252,2.912210096,17.248,2.235010096,15.1832,0.170210096,14.2064,-0.806589904
10.9,-1.098,-0.875,20.2309,5.217910096,17.154,2.141010096,15.584,0.571010096,13.6488,-1.364189904,12.4725,-2.540489904
10.9,-1.15,0.229500584,20.127,5.114010096,17.192,2.179010096,15.834,0.821010096,13.9443,-1.068689904,12.825,-2.187989904
10.9,-1.106,0.037,19.9596,4.946610096,17.3052,2.292210096,16.2513,1.238310096,14.4655,-0.547489904,13.4247,-1.588289904
10.9,-1.155,0.127172961,19.7245,4.711510096,17.221,2.208010096,16.0601,1.047110096,14.3456,-0.667389904,13.2853,-1.727689904
10.9,-1.117,0.012,19.9941,4.981110096,17.1956,2.182610096,15.7241,0.711110096,13.761,-1.251989904,12.6387,-2.374289904
10.9,-1.148,-0.125,20.8929,5.879910096,17.8754,2.862410096,15.5767,0.563710096,12.9429,-2.070089904,11.5102,-3.502789904
10.9,-1.184,-0.833999991,19.8135,4.800510096,17.2078,2.194810096,15.88,0.867010096,13.9768,-1.036189904,12.8815,-2.131489904
10.9,-1.123,-0.726000011,20.2211,5.208110096,17.3742,2.361210096,16.1422,1.129210096,14.1832,-0.829789904,13.096,-1.916989904
10.9,-1.137,0.161832315,21.3513,6.338310096,18.1078,3.094810096,15.5042,0.491210096,13.1025,-1.910489904,11.8413,-3.171689904
10.9,-1.171,0.132124296,19.7852,4.772210096,17.2354,2.222410096,16.4293,1.416310096,14.8574,-0.155589904,13.831,-1.181989904
10.9,-1.101,-0.485000014,20.5956,5.582610096,17.6249,2.611910096,16.2955,1.282510096,14.0165,-0.996489904,12.8641,-2.148889904
10.9,-1.118,0.335000008,20.6909,5.677910096,17.4914,2.478410096,15.4366,0.423610096,12.972,-2.040989904,11.6216,-3.391389904
10.9,-1.153,0.344000012,19.3948,4.381810096,17.4427,2.429710096,16.7131,1.700110096,15.2545,0.241510096,14.2848,-0.728189904
10.9,-1.137,-0.595000029,20.3627,5.349710096,17.2439,2.230910096,15.6787,0.665710096,13.9427,-1.070289904,12.852,-2.160989904
10.9,-1.141,-0.137999997,20.335,5.322010096,17.6436,2.630610096,15.4774,0.464410096,12.9845,-2.028489904,11.5788,-3.434189904
10.9,-1.12,-0.912999988,20.5426,5.529610096,17.2915,2.278510096,15.9327,0.919710096,13.8967,-1.116289904,12.7553,-2.257689904
10.9,-1.134,0.227024923,19.7228,4.709810096,17.4489,2.435910096,16.6786,1.665610096,15.1575,0.144510096,14.1567,-0.856289904
10.9,-1.111,0.212170908,20.0071,4.994110096,17.2148,2.201810096,15.9513,0.938310096,14.047,-0.965989904,12.9463,-2.066689904
10.9,-1.153,0.034000002,19.8807,4.867710096,17.2257,2.212710096,15.9271,0.914110096,14.1039,-0.909089904,13.0059,-2.007089904
10.9,-1.148,0.213821357,19.9655,4.952510096,17.1364,2.123410096,16.0905,1.077510096,14.3833,-0.629689904,13.2819,-1.731089904
10.9,-1.147,0.340999991,20.379,5.366010096,17.2906,2.277610096,16.0031,0.990110096,14.0561,-0.956889904,12.9474,-2.065589904
10.9,-1.135,0.155230531,19.929,4.916010096,17.1963,2.183310096,16.2216,1.208610096,14.5374,-0.475589904,13.4707,-1.542289904
10.9,-1.153,0.086000003,19.725,4.712010096,17.3135,2.300510096,16.6031,1.590110096,15.0843,0.071310096,14.0822,-0.930789904
10.9,-1.124,0.028000001,19.78,4.767010096,17.1886,2.175610096,15.8291,0.816110096,13.9238,-1.089189904,12.8315,-2.181489904
10.9,-1.069,0.317000002,19.6492,4.636210096,17.4205,2.407510096,16.602,1.589010096,15.0744,0.061410096,14.0739,-0.939089904
11.25,-1.545,-0.637,18.0968,4.719283076,15.7472,2.369683076,14.7297,1.352183076,13.0907,-0.286816924,11.9865,-1.391016924
11.25,-1.43,0.373,18.4266,5.049083076,16.3737,2.996183076,15.9226,2.545083076,14.4542,1.076683076,13.4647,0.087183076
11.25,-1.551,-0.032,18.0742,4.696683076,16.2723,2.894783076,15.7886,2.411083076,14.4003,1.022783076,13.4454,0.067883076
11.25,-1.543,-0.022,18.6746,5.297083076,17.0007,3.623183076,16.5807,3.203183076,15.2036,1.826083076,14.2312,0.853683076
11.25,-1.541,0.049,18.1591,4.781583076,16.3086,2.931083076,15.8346,2.457083076,14.4166,1.039083076,13.4613,0.083783076
11.25,-1.432,0.385,18.1686,4.791083076,16.1506,2.773083076,15.7139,2.336383076,14.2951,0.917583076,13.3216,-0.055916924
11.25,-1.568,0.286,18.0139,4.636383076,15.8744,2.496883076,15.3377,1.960183076,13.8508,0.473283076,12.8344,-0.543116924
11.25,-1.525,0.3,18.5164,5.138883076,16.929,3.551483076,16.6079,3.230383076,15.3089,1.931383076,14.3885,1.010983076
11.25,-1.512,0.213,18.6171,5.239583076,16.9852,3.607683076,16.6705,3.292983076,15.3444,1.966883076,14.4159,1.038383076
11.25,-1.512,-0.246,18.032,4.654483076,16.1637,2.786183076,15.6056,2.228083076,14.1959,0.818383076,13.203,-0.174516924
11.25,-1.581,0.075,18.0287,4.651183076,15.7817,2.404183076,15.0088,1.631283076,13.4354,0.057883076,12.4019,-0.975616924
11.25,-1.479,0.242,18.1218,4.744283076,15.8591,2.481583076,15.219,1.841483076,13.6959,0.318383076,12.6472,-0.730316924
11.25,-1.547,-0.351,18.3853,5.007783076,16.7121,3.334583076,16.397,3.019483076,15.0783,1.700783076,14.1629,0.785383076
