NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F435W,F435W_abs,F435W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e,Star ID,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,31223,6.0267125,-72.05117778,4521,14.56,1.283827465,15.496,2.219827465,NaN,NaN,0,-13.27617254,4763,2.49,12.52,-0.739,0.164,-0.75,NaN,NaN,0.243,0.019,-99.9999,-113.2760725,99.9999,16.1307,2.854527465,0,-99.9999,-113.2760725,99.9999,14.2675,0.991327465,0,13.4862,0.210027465,0,R0025771,,,,,,,,,,,,,,,,,,,,,,
104,Carretta,31525,6.04209167,-72.04978056,4521,13.228,-0.048172535,14.34,1.063827465,NaN,NaN,7.892,-5.384172535,4360,1.71,12.52,-0.742,0.114,-0.75,0.162,0.016,0.629,0.017,-99.9999,-113.2760725,99.9999,15.6486,2.372427465,0,-99.9999,-113.2760725,99.9999,12.9299,-0.346272535,0,11.9884,-1.287772535,0,R0025877,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,17238,5.9569622,-72.1134367,4521,14.47,1.193827465,15.39,2.113827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.7,NaN,-0.75,NaN,NaN,0.57,NaN,-99.9999,-113.2760725,99.9999,16.1214,2.845227465,0,15.4746,2.198427465,0,14.2529,0.976727465,0,13.4969,0.220727465,0,R0000024,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,18374,6.0302839,-72.1081228,4521,14.163,0.886827465,15.109,1.832827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.7,NaN,-0.75,NaN,NaN,0.48,NaN,-99.9999,-113.2760725,99.9999,15.9434,2.667227465,0.0009,15.2034,1.927227465,0,13.9427,0.666527465,0,13.1398,-0.136372535,0,R0000435,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,18896,6.1044403,-72.1056761,4521,14.504,1.227827465,15.416,2.139827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.73,NaN,-0.75,NaN,NaN,0.58,NaN,-99.9999,-113.2760725,99.9999,16.1662,2.890027465,0,15.5023,2.226127465,0,14.3024,1.026227465,0,13.5235,0.247327465,0,R0000815,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,19992,5.9503425,-72.1007378,4521,13.921,0.644827465,14.931,1.654827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.75,NaN,-0.75,NaN,NaN,0.15,NaN,18.8476,5.571427465,0.0186,15.6995,2.423327465,0,15.3167,2.040527465,0,13.6429,0.366727465,0,12.8017,-0.474472535,0,R0001925,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,20701,6.1068647,-72.0974678,4521,13.974,0.697827465,14.941,1.664827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.62,NaN,-0.75,NaN,NaN,0.54,NaN,-99.9999,-113.2760725,99.9999,15.9301,2.653927465,0,15.0808,1.804627465,0,13.7608,0.484627465,0,12.9358,-0.340372535,0,R0002885,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,23211,6.1268642,-72.0859761,4521,13.813,0.536827465,14.839,1.562827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.71,NaN,-0.75,NaN,NaN,0.7,NaN,-99.9999,-113.2760725,99.9999,15.8221,2.545927465,0,-99.9999,-113.2760725,99.9999,13.5358,0.259627465,0,12.682,-0.594172535,0,R0008835,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,23175,5.9712203,-72.0862236,4521,12.883,-0.393172535,14.054,0.777827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.78,NaN,-0.75,NaN,NaN,0.56,NaN,18.5597,5.283527465,0.0105,15.5374,2.261227465,0,14.1402,0.864027465,0,12.5658,-0.710372535,0,11.6241,-1.652072535,0,R0008669,,,,,,,,,,,,,,,,,,,,,,
104,Dobrovolskas,24665,6.0878825,-72.0794964,4521,12.943,-0.333172535,14.109,0.832827465,NaN,NaN,NaN,NaN,NaN,NaN,12.52,-0.73,NaN,-0.75,NaN,NaN,0.44,NaN,18.5912,5.315027465,0.0135,15.4941,2.217927465,0,14.1848,0.908627465,0,12.6576,-0.618572535,0,11.7145,-1.561672535,0,R0014514,,,,,,,,,,,,,,,,,,,,,,
