Na/Fe,F275W,F275W_abs,F336W,F336W_abs,F435W,F435W_abs,F606W,F606W_abs,F814W,F814W_abs
0.0,18.1694,3.439842416,16.1076,1.378042416,15.5528,0.823242416,14.223,-0.506557584,13.3905,-1.339057584
0.29,18.754,4.024442416,16.0279,1.298342416,14.7689,0.039342416,13.1339,-1.595657584,12.1729,-2.556657584
0.01,19.1417,4.412142416,16.1247,1.395142416,14.5584,-0.171157584,12.6904,-2.039157584,11.6209,-3.108657584
-0.06,19.0357,4.306142416,15.9903,1.260742416,14.6447,-0.084857584,12.9097,-1.819857584,11.8906,-2.838957584
0.41,19.2973,4.567742416,16.4861,1.756542416,14.6349,-0.094657584,12.6971,-2.032457584,11.5386,-3.190957584
0.417274752,18.5908,3.861242416,16.1884,1.458842416,15.3185,0.588942416,13.883,-0.846557584,13.0138,-1.715757584
-0.140000001,17.8851,3.155542416,15.9097,1.180142416,15.5031,0.773542416,14.3515,-0.378057584,13.5798,-1.149757584
0.417274752,18.4638,3.734242416,16.1633,1.433742416,15.4733,0.743742416,14.1167,-0.612857584,13.2678,-1.461757584
0.409770244,18.3886,3.659042416,16.2363,1.506742416,15.6211,0.891542416,14.3237,-0.405857584,13.5136,-1.215957584
0.460750019,18.7871,4.057542416,16.065,1.335442416,14.697,-0.032557584,12.9614,-1.768157584,11.9572,-2.772357584
0.680000007,18.5272,3.797642416,16.3865,1.656942416,15.6098,0.880242416,14.172,-0.557557584,13.3557,-1.373857584
0.050000001,18.7201,3.990542416,15.9868,1.257242416,15.0088,0.279242416,13.4639,-1.265657584,12.5252,-2.204357584
0.0,18.1694,3.439842416,16.1076,1.378042416,15.5528,0.823242416,14.223,-0.506557584,13.3905,-1.339057584
0.447292789,18.754,4.024442416,16.0279,1.298342416,14.7689,0.039342416,13.1339,-1.595657584,12.1729,-2.556657584
-0.059999999,19.0357,4.306142416,15.9903,1.260742416,14.6447,-0.084857584,12.9097,-1.819857584,11.8906,-2.838957584
-0.059999999,20.3377,4.26348076,17.2627,1.18848076,15.6807,-0.39351924,13.7986,-2.27561924,12.7563,-3.31791924
-0.01,19.6708,3.59658076,17.8815,1.80728076,17.3596,1.28538076,16.0011,-0.07311924,15.2365,-0.83771924
0.620000005,19.7189,3.64468076,17.2062,1.13198076,16.0739,-0.00031924,14.5082,-1.56601924,13.5798,-2.49441924
0.512509849,20.329,4.25478076,17.3729,1.29868076,15.7468,-0.32741924,13.8499,-2.22431924,12.7971,-3.27711924
0.689999998,19.745,3.67078076,17.3872,1.31298076,16.4222,0.34798076,14.9394,-1.13481924,14.0659,-2.00831924
0.059999999,19.6368,3.56258076,17.2979,1.22368076,16.582,0.50778076,15.2012,-0.87301924,14.3522,-1.72201924
0.391008971,20.0482,3.97398076,17.2277,1.15348076,15.7864,-0.28781924,14.0686,-2.00561924,13.0726,-3.00161924
-0.050000001,19.4689,3.39468076,17.4481,1.37388076,17.0506,0.97638076,15.8458,-0.22841924,15.057,-1.01721924
0.473689974,20.029,3.95478076,17.2148,1.14058076,15.9171,-0.15711924,14.2637,-1.81051924,13.2842,-2.79001924
0.436036024,19.6911,3.61688076,17.2174,1.14318076,16.2432,0.16898076,14.774,-1.30021924,13.8827,-2.19151924
-0.050000001,20.3617,4.28748076,17.2339,1.15968076,15.6684,-0.40581924,13.793,-2.28121924,12.7359,-3.33831924
0.730000019,19.6461,3.57188076,17.3855,1.31128076,16.5256,0.45138076,15.1296,-0.94461924,14.2753,-1.79891924
0.550000012,19.4311,3.35688076,17.6332,1.55898076,17.1583,1.08408076,16.0019,-0.07231924,15.2254,-0.84881924
-0.25999999,19.6584,3.58418076,17.1273,1.05308076,16.3173,0.24308076,14.9161,-1.15811924,14.029,-2.04521924
0.27,19.5291,4.142078768,17.9634,2.576378768,17.7701,2.383078768,16.7042,1.317178768,15.9844,0.597378768
0.52,19.3446,3.957578768,17.2094,1.822378768,16.4081,1.021078768,14.9277,-0.459321232,14.0964,-1.290621232
0.2,19.4275,4.040478768,17.7974,2.410378768,17.5405,2.153478768,16.4361,1.049078768,15.687,0.299978768
0.27,19.2811,3.894078768,17.3744,1.987378768,16.8619,1.474878768,15.4547,0.067678768,14.6624,-0.724621232
0.01,19.2751,3.888078768,17.4633,2.076278768,17.1138,1.726778768,15.951,0.563978768,15.195,-0.192021232
0.15,19.1798,3.792778768,17.1474,1.760378768,16.6321,1.245078768,15.3712,-0.015821232,14.5605,-0.826521232
0.62,19.1852,3.798178768,16.9397,1.552678768,16.0821,0.695078768,14.7548,-0.632221232,13.8819,-1.505121232
0.37,19.3038,3.916778768,17.5822,2.195178768,17.2475,1.860478768,16.0912,0.704178768,15.3396,-0.047421232
-0.09,19.1878,3.800778768,16.6065,1.219478768,15.7198,0.332778768,14.2661,-1.120921232,13.3734,-2.013621232
-0.17,19.608,4.220978768,17.9428,2.555778768,17.8026,2.415578768,16.7256,1.338578768,16.0086,0.621578768
-0.03,19.2825,3.895478768,17.2304,1.843378768,16.8532,1.466178768,15.6302,0.243178768,14.8368,-0.550221232
0.54,19.3117,3.924678768,17.5709,2.183878768,17.1161,1.729078768,15.9166,0.529578768,15.1505,-0.236521232
0.27,19.1729,3.785878768,17.1802,1.793178768,16.651,1.263978768,15.3969,0.009878768,14.5891,-0.797921232
0.32,19.3127,3.925678768,17.538,2.150978768,17.1729,1.785878768,16.0088,0.621778768,15.2477,-0.139321232
0.25,19.1044,3.717378768,16.9714,1.584378768,16.2698,0.882778768,14.9489,-0.438121232,14.1001,-1.286921232
0.54,19.1622,3.775178768,16.9,1.512978768,16.0909,0.703878768,14.6927,-0.694321232,13.8112,-1.575821232
0.26,19.1811,3.794078768,17.4163,2.029278768,17.0294,1.642378768,15.8277,0.440678768,15.0781,-0.308921232
0.43,19.3413,3.954278768,16.8478,1.460778768,15.8024,0.415378768,14.2981,-1.088921232,13.3736,-2.013421232
0.54,19.3252,3.938178768,17.434,2.046978768,16.8451,1.458078768,15.5804,0.193378768,14.7733,-0.613721232
0.22,19.4007,4.013678768,17.2185,1.831478768,16.5996,1.212578768,15.1997,-0.187321232,14.3583,-1.028721232
0.26,19.1266,3.739578768,17.0594,1.672378768,16.4277,1.040678768,15.1382,-0.248821232,14.296,-1.091021232
-0.14,19.2355,3.848478768,16.9984,1.611378768,16.4933,1.106278768,15.2068,-0.180221232,14.3652,-1.021821232
0.49,19.6795,4.292478768,16.8216,1.434578768,15.345,-0.042021232,13.5404,-1.846621232,12.4891,-2.897921232
0.0,19.3292,3.942178768,16.8709,1.483878768,16.1562,0.769178768,14.7611,-0.625921232,13.8768,-1.510221232
0.33,19.1131,3.726078768,17.1044,1.717378768,16.5376,1.150578768,15.2567,-0.130321232,14.4285,-0.958521232
0.41,19.1615,3.774478768,16.9438,1.556778768,16.2125,0.825478768,14.8686,-0.518421232,13.9987,-1.388321232
0.13,19.3426,3.955578768,16.7912,1.404178768,15.9617,0.574678768,14.4842,-0.902821232,13.5782,-1.808821232
0.217,20.2288,5.215810096,17.2495,2.236510096,15.911,0.898010096,14.0652,-0.947789904,12.9362,-2.076789904
0.377,19.8226,4.809610096,17.2092,2.196210096,15.9523,0.939310096,14.1692,-0.843789904,13.0935,-1.919489904
0.375,19.6676,4.654610096,17.2588,2.245810096,16.1618,1.148810096,14.4589,-0.554089904,13.4163,-1.596689904
0.223,19.8637,4.850710096,17.2858,2.272810096,16.3569,1.343910096,14.7507,-0.262289904,13.7149,-1.298089904
0.061,20.7483,5.735310096,17.6332,2.620210096,15.4386,0.425610096,12.8163,-2.196689904,11.0615,-3.951489904
0.617,19.9865,4.973510096,17.9252,2.912210096,17.248,2.235010096,15.1832,0.170210096,14.2064,-0.806589904
0.654,19.6078,4.594810096,17.1692,2.156210096,15.9594,0.946410096,13.7737,-1.239289904,12.7154,-2.297589904
0.345,20.2309,5.217910096,17.154,2.141010096,15.584,0.571010096,13.6488,-1.364189904,12.4725,-2.540489904
0.065,20.1753,5.162310096,17.3947,2.381710096,16.4081,1.395110096,14.4901,-0.522889904,13.4276,-1.585389904
0.198,20.127,5.114010096,17.192,2.179010096,15.834,0.821010096,13.9443,-1.068689904,12.825,-2.187989904
0.233,19.9596,4.946610096,17.3052,2.292210096,16.2513,1.238310096,14.4655,-0.547489904,13.4247,-1.588289904
0.37,19.7245,4.711510096,17.221,2.208010096,16.0601,1.047110096,14.3456,-0.667389904,13.2853,-1.727689904
0.281,20.2776,5.264610096,17.2407,2.227710096,15.7668,0.753810096,13.8601,-1.152889904,12.6939,-2.319089904
0.495,19.9941,4.981110096,17.1956,2.182610096,15.7241,0.711110096,13.761,-1.251989904,12.6387,-2.374289904
0.127,20.8929,5.879910096,17.8754,2.862410096,15.5767,0.563710096,12.9429,-2.070089904,11.5102,-3.502789904
0.49,19.8135,4.800510096,17.2078,2.194810096,15.88,0.867010096,13.9768,-1.036189904,12.8815,-2.131489904
0.25,20.3569,5.343910096,17.2401,2.227110096,15.7616,0.748610096,13.7017,-1.311289904,12.5621,-2.450889904
0.196,20.2211,5.208110096,17.3742,2.361210096,16.1422,1.129210096,14.1832,-0.829789904,13.096,-1.916989904
0.066,20.8357,5.822710096,17.631,2.618010096,15.3704,0.357410096,12.8287,-2.184289904,11.4209,-3.592089904
0.417,21.3513,6.338310096,18.1078,3.094810096,15.5042,0.491210096,13.1025,-1.910489904,11.8413,-3.171689904
0.296,19.8701,4.857110096,17.3095,2.296510096,16.3433,1.330310096,14.6187,-0.394289904,13.5967,-1.416289904
0.022,19.7852,4.772210096,17.2354,2.222410096,16.4293,1.416310096,14.8574,-0.155589904,13.831,-1.181989904
0.244,20.5956,5.582610096,17.6249,2.611910096,16.2955,1.282510096,14.0165,-0.996489904,12.8641,-2.148889904
-0.036,19.9798,4.966810096,17.1602,2.147210096,15.9963,0.983310096,14.1752,-0.837789904,13.1,-1.912989904
0.281,20.6274,5.614410096,17.8313,2.818310096,15.4643,0.451310096,13.2291,-1.783889904,11.7115,-3.301489904
0.084,20.1433,5.130310096,17.5222,2.509210096,15.4538,0.440810096,12.3361,-2.676889904,10.8173,-4.195689904
0.098,20.6909,5.677910096,17.4914,2.478410096,15.4366,0.423610096,12.972,-2.040989904,11.6216,-3.391389904
-0.112,20.1251,5.112110096,17.0858,2.072810096,15.706,0.693010096,13.851,-1.161989904,12.7334,-2.279589904
0.649,19.3948,4.381810096,17.4427,2.429710096,16.7131,1.700110096,15.2545,0.241510096,14.2848,-0.728189904
0.448,19.9021,4.889110096,17.2702,2.257210096,15.8224,0.809410096,13.8604,-1.152589904,12.7324,-2.280589904
0.419,20.335,5.322010096,17.6436,2.630610096,15.4774,0.464410096,12.9845,-2.028489904,11.5788,-3.434189904
0.043,20.5426,5.529610096,17.2915,2.278510096,15.9327,0.919710096,13.8967,-1.116289904,12.7553,-2.257689904
0.17,19.7228,4.709810096,17.4489,2.435910096,16.6786,1.665610096,15.1575,0.144510096,14.1567,-0.856289904
0.078,20.0013,4.988310096,17.2035,2.190510096,16.1345,1.121510096,14.3716,-0.641389904,13.3018,-1.711189904
0.268,20.0071,4.994110096,17.2148,2.201810096,15.9513,0.938310096,14.047,-0.965989904,12.9463,-2.066689904
0.462,19.8807,4.867710096,17.2257,2.212710096,15.9271,0.914110096,14.1039,-0.909089904,13.0059,-2.007089904
-0.111,20.3694,5.356410096,17.2156,2.202610096,15.4434,0.430410096,13.2304,-1.782589904,11.9997,-3.013289904
-0.017,19.9655,4.952510096,17.1364,2.123410096,16.0905,1.077510096,14.3833,-0.629689904,13.2819,-1.731089904
-0.082,19.9529,4.939910096,17.5071,2.494110096,16.8276,1.814610096,15.1009,0.087910096,14.1039,-0.909089904
-0.089,19.725,4.712010096,17.3135,2.300510096,16.6031,1.590110096,15.0843,0.071310096,14.0822,-0.930789904
